time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1990,CD,YEAR_REGEX_1,TIME,time_reference,"Frank started his band, The Soileau Zydeco Band, in 1990 and is active as of 2016.",1,0,,13300383,1990-01-01,1990-12-31,ML
of 2016,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Frank started his band, The Soileau Zydeco Band, in 1990 and is active as of 2016.",1,0,,13300383,2016-01-01,2016-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,(1994),1,3,== Discography == | === Studio albums and EP ===,13300383,1994-01-01,1994-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,Movin' On Up (1995) (Maison de Soul),0,4,== Discography == | === Studio albums and EP ===,13300383,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,Only the Strong Survive (1996) (Maison de Soul),0,5,== Discography == | === Studio albums and EP ===,13300383,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,You'd Be Surprised (1997) (Maison de Soul),0,6,== Discography == | === Studio albums and EP ===,13300383,1997-01-01,1997-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,On A Mission (1998) (Maison de Soul),0,7,== Discography == | === Studio albums and EP ===,13300383,1998-01-01,1998-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,Ready or Not (2000) (Shanachie),0,8,== Discography == | === Studio albums and EP ===,13300383,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,The Masked Band (2001),0,9,== Discography == | === Studio albums and EP ===,13300383,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,Keith Frank EP (2002) (Maison de Soul),0,10,== Discography == | === Studio albums and EP ===,13300383,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,The Zydeco Icon (2003) (Soulwood Records),0,11,== Discography == | === Studio albums and EP ===,13300383,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,Going to See Keith Frank (2005) (Soulwood Records),0,12,== Discography == | === Studio albums and EP ===,13300383,2005-01-01,2005-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,Undisputed (2007) (Soulwood Records),0,13,== Discography == | === Studio albums and EP ===,13300383,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,To Be Perfectly Frank (2007) (Soulwood Records),0,14,== Discography == | === Studio albums and EP ===,13300383,2007-01-01,2007-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Respected (2008) (Soulwood Records),2,15,== Discography == | === Studio albums and EP ===,13300383,2008-01-01,2008-12-31,ML
2012,CD,YEAR_REGEX_1,TIME,time_reference,Follow the Leader (2012) (Soulwood Records),0,16,== Discography == | === Studio albums and EP ===,13300383,2012-01-01,2012-12-31,ML
One Night,CD NNP,BASIC_NUMBER_REGEX_1 DAY_TIME_REGEX,NUMERAL TIME,,One Night At Cowboy's (2017) (Soulwood Records),0,17,== Discography == | === Studio albums and EP ===,13300383,,,ML
2017,CD,YEAR_REGEX_1,TIME,time_reference,One Night At Cowboy's (2017) (Soulwood Records),0,17,== Discography == | === Studio albums and EP ===,13300383,2017-01-01,2017-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,Return Of The King (2018) (Soulwood Records),0,18,== Discography == | === Studio albums and EP ===,13300383,2018-01-01,2018-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,Live At Slim's Y-Ki-Ki (1999) (Shanachie),0,20,== Discography == | === Live albums ===,13300383,1999-01-01,1999-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Live At Slims Yi Ki Ki, Vol. II (2014) (Soulwood Records)",0,21,== Discography == | === Live albums ===,13300383,2014-01-01,2014-12-31,ML
