time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"October 30 , 1947","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Timothy Bruce Schmit (born October 30, 1947) is an American musician, singer, and songwriter.",0,0,,1407511,1947-10-30,1947-10-30,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"In 1998, he was inducted into the Rock and Roll Hall of Fame as a member of Eagles.",3,0,,1407511,1998-01-01,1998-12-31,ML
1965,CD,YEAR_REGEX_1,TIME,time_reference,"As the New Breed, they had one big radio hit: the Animals-inspired ""Green Eyed Woman,"" which was released in 1965.",3,2,== Early life ==,1407511,1965-01-01,1965-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,"Changing its name once again to Glad, the group recorded the album Feelin' Glad in 1968.",4,2,== Early life ==,1407511,1968-01-01,1968-12-31,ML
1968,CD,YEAR_REGEX_1,TIME,time_reference,"In 1968, Schmit auditioned for Poco but was turned down in favor of founding member Randy Meisner.",0,4,== Poco ==,1407511,1968-01-01,1968-12-31,ML
1969,CD,YEAR_REGEX_1,TIME,time_reference,"When Meisner quit the band in 1969, Schmit replaced him on bass and vocals.",1,4,== Poco ==,1407511,1969-01-01,1969-12-31,ML
1969 and 1977,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,"He appeared on nine of Poco's studio albums and two live albums between 1969 and 1977, composing numerous songs.",2,4,== Poco ==,1407511,1969-01-01,1977-12-31,ML
1975,CD,YEAR_REGEX_1,TIME,time_reference,"He wrote and was the lead singer on the song ""Keep on Tryin',"" Poco's biggest hit single to that point, peaking at #50 on the Billboard Hot 100 in 1975.",3,4,== Poco ==,1407511,1975-01-01,1975-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"Apart from Poco, Schmit also contributed vocals to Firefall's 1977 hit, ""Just Remember I Love You.",4,4,== Poco ==,1407511,1977-01-01,1977-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"Schmit also sang backing vocals on ""Never Let Her Slip Away"", a top 5 UK hit for Andrew Gold in 1978, along with Brock Walsh, J.D. Souther and an uncredited Freddie Mercury.",6,4,== Poco ==,1407511,1978-01-01,1978-12-31,ML
1977,CD,YEAR_REGEX_1,TIME,time_reference,"In 1977, Schmit joined the Eagles during the Hotel California tour, replacing Randy Meisner on bass/vocals, as he had done in Poco, after Meisner quit.",0,6,== Eagles ==,1407511,1977-01-01,1977-12-31,ML
the 1979,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"On the 1979 album, The Long Run, Schmit co-wrote and sang lead vocals on the song ""I Can't Tell You Why"".",2,6,== Eagles ==,1407511,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"The band later broke up in 1980 and reunited 14 years later in 1994, with Schmit singing the lead vocals on ""Love Will Keep Us Alive"", on the reunion album Hell Freezes Over.",3,6,== Eagles ==,1407511,1980-01-01,1980-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"The band later broke up in 1980 and reunited 14 years later in 1994, with Schmit singing the lead vocals on ""Love Will Keep Us Alive"", on the reunion album Hell Freezes Over.",3,6,== Eagles ==,1407511,1994-01-01,1994-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"In 2007, the Eagles released a new album, Long Road Out of Eden.",0,7,== Eagles ==,1407511,2007-01-01,2007-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Schmit continued to be part of the Eagles lineup along with Don Henley, Glenn Frey and Joe Walsh until Frey's death in 2016, and in the current Eagles touring lineup featuring Vince Gill and Glenn Frey's son Deacon Frey.",1,7,== Eagles ==,1407511,2016-01-01,2016-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"After the Eagles broke up in 1980, Schmit embarked on a solo career, singing vocals and playing bass for hire during studio sessions.",0,9,== Career after the Eagles and Poco ==,1407511,1980-01-01,1980-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Schmit teamed with his predecessor in both Poco and the Eagles, Randy Meisner, along with their mutual Eagles bandmate Joe Walsh, to provide background vocals to the  Richard Marx 1987 hit ""Don't Mean Nothing"".",0,10,== Career after the Eagles and Poco ==,1407511,1987-01-01,1987-12-31,ML
1983,CD,YEAR_REGEX_1,TIME,time_reference,"Schmit also performed on the Toto 1983 hit singles ""I Won't Hold You Back"" and ""Africa"", and the Jars of Clay song ""Everything in Between"".",1,10,== Career after the Eagles and Poco ==,1407511,1983-01-01,1983-12-31,ML
the 1983,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,He also played on the 1983 Glenn Shorrock solo album.,2,10,== Career after the Eagles and Poco ==,1407511,1983-01-01,1983-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"In 1991 Schmit covered the standard ""I Only Have Eyes for You"" for the soundtrack of the film Don't Tell Mom the Babysitter's Dead.",3,10,== Career after the Eagles and Poco ==,1407511,1991-01-01,1991-12-31,ML
1988,CD,YEAR_REGEX_1,TIME,time_reference,"In 1988 he added background vocals to Sheena Easton's album The Lover in Me and in 1989 Schmit added background vocals on the Stacey Q single, ""Heartbeat"", which was featured on her critically acclaimed Nights Like This album.",4,10,== Career after the Eagles and Poco ==,1407511,1988-01-01,1988-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"In 1988 he added background vocals to Sheena Easton's album The Lover in Me and in 1989 Schmit added background vocals on the Stacey Q single, ""Heartbeat"", which was featured on her critically acclaimed Nights Like This album.",4,10,== Career after the Eagles and Poco ==,1407511,1989-01-01,1989-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,"Schmit toured with Toto in 1982 and with Jimmy Buffett, in 1983, 1984, and 1985 as a member of the Coral Reefer Band, and coined the term ""Parrotheads"" to describe Buffett's fans.",0,11,== Career after the Eagles and Poco ==,1407511,1982-01-01,1982-12-31,ML
1985,CD,YEAR_REGEX_1,TIME,time_reference,"Schmit toured with Toto in 1982 and with Jimmy Buffett, in 1983, 1984, and 1985 as a member of the Coral Reefer Band, and coined the term ""Parrotheads"" to describe Buffett's fans.",0,11,== Career after the Eagles and Poco ==,1407511,1985-01-01,1985-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,He was a member of Ringo Starr & His All-Starr Band in 1992.,1,11,== Career after the Eagles and Poco ==,1407511,1992-01-01,1992-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"In 1993, he contributed background vocals to several tracks on Clint Black's No Time to Kill CD including the title cut.",2,11,== Career after the Eagles and Poco ==,1407511,1993-01-01,1993-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"In 1995, Schmit sang the song ""How Far I'll Fly"" for the ending credits to the Australian movie Napoleon.",3,11,== Career after the Eagles and Poco ==,1407511,1995-01-01,1995-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"In 1996, he sang on a cover version of The Beach Boys'  song ""Caroline, No"" on their album Stars and Stripes Vol.",4,11,== Career after the Eagles and Poco ==,1407511,1996-01-01,1996-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"In 2000, he toured with Dan Fogelberg; recordings from that tour became a live album, ""Dan Fogelberg Live.""",6,11,== Career after the Eagles and Poco ==,1407511,2000-01-01,2000-12-31,ML
"October 20 , 2009","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Schmit's fifth studio album, Expando, was released on October 20, 2009.",0,12,== Career after the Eagles and Poco ==,1407511,2009-10-20,2009-10-20,ML
