time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 5 , 1982","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Choi Whee-sung (Korean: 최휘성; born February 5, 1982), known professionally as Wheesung or by the stage name Realslow, is a South Korean R&B singer, record producer, and musical theatre actor.",0,0,,1666975,1982-02-05,1982-02-05,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,1982:,1,2,== Career == | === 1982: Early life and education ===,1666975,1982-01-01,1982-12-31,ML
"February 5 , 1982","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Wheesung was born on February 5, 1982.",0,3,== Career == | === 1982: Early life and education ===,1666975,1982-02-05,1982-02-05,ML
1997–1999,CD,YEAR_REGEX_1,TIME,time_reference,1997–1999:,1,4,== Career == | === 1997–1999: Dance Team and Group Debut ===,1666975,1997-01-01,1999-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,He started his career in 1997 as a member of a back dancing team ING.,0,5,== Career == | === 1997–1999: Dance Team and Group Debut ===,1666975,1997-01-01,1997-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Wheesung began his career in 1999 with the short lived Korean boy group, A4.",1,5,== Career == | === 1997–1999: Dance Team and Group Debut ===,1666975,1999-01-01,1999-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"And, he participated the MBC College Music Festival (MBC 강변가요제) in 2000.",4,5,== Career == | === 1997–1999: Dance Team and Group Debut ===,1666975,2000-01-01,2000-12-31,ML
2000–2006,CD,YEAR_REGEX_1,TIME,time_reference,2000–2006: Solo Debut and YG Entertainment =,1,6,== Career == | === 2000–2006: Solo Debut and YG Entertainment ===,1666975,2000-01-01,2006-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"In 2000, he signed onto M Boat, a former sister company to YG Entertainment.",0,7,== Career == | === 2000–2006: Solo Debut and YG Entertainment ===,1666975,2000-01-01,2000-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,He underwent a few years of vocal training under the label and released his first solo album Like A Movie in 2002.,1,7,== Career == | === 2000–2006: Solo Debut and YG Entertainment ===,1666975,2002-01-01,2002-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"In 2003, he released his second album, It's Real.",3,7,== Career == | === 2000–2006: Solo Debut and YG Entertainment ===,1666975,2003-01-01,2003-12-31,ML
of 2003,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"It proved to be as popular as his first, making him the best selling artist of 2003 in Korea.",4,7,== Career == | === 2000–2006: Solo Debut and YG Entertainment ===,1666975,2003-01-01,2003-12-31,ML
2006–2009,CD,YEAR_REGEX_1,TIME,time_reference,2006–2009: Orange Shock Agency =,1,8,== Career == | === 2006–2009: Orange Shock Agency ===,1666975,2006-01-01,2009-12-31,ML
March 2006,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,Wheesung left YG Entertainment after his contract expired in March 2006.,0,9,== Career == | === 2006–2009: Orange Shock Agency ===,1666975,2006-03-01,2006-03-31,ML
