time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
5 June 1967,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,Josh Roseman (born 5 June 1967) is an American jazz trombonist.,0,0,,19046752,1967-06-05,1967-06-05,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Cherry (Enja, 2000)",0,5,== Discography == | === As leader ===,19046752,2000-01-01,2000-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"New Constellations (Accurate, 2007)",0,6,== Discography == | === As leader ===,19046752,2007-01-01,2007-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Cool and Steady and Easy (Dorado, 1994)",0,9,== Discography == | === As sideman ===,19046752,1994-01-01,1994-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"In the BuzzBag (Doublemoon, 1998)",0,10,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Make Them Like It (PIAS, 2000)With Uri Caine",0,11,== Discography == | === As sideman ===,19046752,2000-01-01,2000-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"Toys (JMT, 1995)",0,12,== Discography == | === As sideman ===,19046752,1995-01-01,1995-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,"In Our Lifetime (New World, 1995)",0,16,== Discography == | === As sideman ===,19046752,1995-01-01,1995-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Sanctuary (Avant, 1997)",0,17,== Discography == | === As sideman ===,19046752,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Stargazer (Arabesque, 1997)",0,18,== Discography == | === As sideman ===,19046752,1997-01-01,1997-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Soul on Soul (RCA Victor, 2000)",0,19,== Discography == | === As sideman ===,19046752,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Witness (Bluebird, 2001)",0,20,== Discography == | === As sideman ===,19046752,2001-01-01,2001-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Pathways (Greenleaf Music, 2013)With Groove Collective",0,21,== Discography == | === As sideman ===,19046752,2013-01-01,2013-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Groove Collective (Reprise, 1994)",0,22,== Discography == | === As sideman ===,19046752,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Nerd (Reprise, 1994)",0,23,== Discography == | === As sideman ===,19046752,1994-01-01,1994-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"We the People (Giant Step, 1996)",0,24,== Discography == | === As sideman ===,19046752,1996-01-01,1996-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Dance of the Drunken Master (Shanachie, 1998)",0,25,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"Declassified (Shanachie, 1999)With",0,26,== Discography == | === As sideman ===,19046752,1999-01-01,1999-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"(DGC, 1994)",1,27,== Discography == | === As sideman ===,19046752,1994-01-01,1994-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"From the Ground Up (Talkin' Loud, 1994)",0,28,== Discography == | === As sideman ===,19046752,1994-01-01,1994-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Illadelph Halflife (DGC, 1996)With Ken Schaphorst",0,29,== Discography == | === As sideman ===,19046752,1996-01-01,1996-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Making Lunch (Accurate, 1989)",0,30,== Discography == | === As sideman ===,19046752,1989-01-01,1989-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"After Blue (Accurate, 1991)",0,31,== Discography == | === As sideman ===,19046752,1991-01-01,1991-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Purple (Naxos, 1998)With others",0,32,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Pheeroan Aklaff, Global Mantras (ModernMasters 1998)",0,33,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Peter Apfelbaum, It Is Written (ACT, 2005)",0,34,== Discography == | === As sideman ===,19046752,2005-01-01,2005-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Ron Blake, Sonic Tonic (Mack Avenue, 2005)",0,35,== Discography == | === As sideman ===,19046752,2005-01-01,2005-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Bojan Z, Humus (EmArcy, 2009)",0,36,== Discography == | === As sideman ===,19046752,2009-01-01,2009-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"Stefano Bollani, Sheik Yer Zappa (Decca, 2014)",0,37,== Discography == | === As sideman ===,19046752,2014-01-01,2014-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Bop City, Hip Strut (Hip Bop, 1996)",0,38,== Discography == | === As sideman ===,19046752,1996-01-01,1996-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"Lester Bowie, When the Spirit Returns (Dreyfus, 2003)",0,39,== Discography == | === As sideman ===,19046752,2003-01-01,2003-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Don Byron, Don Byron Plays the Music of Mickey Katz (Nonesuch, 1993)",0,40,== Discography == | === As sideman ===,19046752,1993-01-01,1993-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Don Byron, You Are #6 (Blue Note, 2001)",0,41,== Discography == | === As sideman ===,19046752,2001-01-01,2001-12-31,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,"Vinicius Cantuaria, Tucuma (Verve, 1998)",0,42,== Discography == | === As sideman ===,19046752,1998-01-01,1998-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Mike Clark, Conjunction (Buckyball, 2001)",0,43,== Discography == | === As sideman ===,19046752,2001-01-01,2001-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"Steve Coleman, The Tao of Mad Phat (Novus, 1993)",0,44,== Discography == | === As sideman ===,19046752,1993-01-01,1993-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Defunkt, Live in Europe (Music Avenue, 2002)",0,45,== Discography == | === As sideman ===,19046752,2002-01-01,2002-12-31,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Dogzilla, Allizgod (Invisible, 1989)",0,46,== Discography == | === As sideman ===,19046752,1989-01-01,1989-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Dusty Trails, Dusty Trails (Atlantic, 2000)",0,47,== Discography == | === As sideman ===,19046752,2000-01-01,2000-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"John Ellis, MOBRO (Parade Light, 2014)",0,48,== Discography == | === As sideman ===,19046752,2014-01-01,2014-12-31,ML
