time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
5 November 1974,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Angela Nathalie Gossow (born 5 November 1974) is a German vocalist, best known as the former lead vocalist for the Swedish melodic death metal band Arch Enemy.",0,0,,2178819,1974-11-05,1974-11-05,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"In 1997, the band Asmodina split and Gossow formed another band: Mistress.",7,2,== Early life ==,2178819,1997-01-01,1997-12-31,ML
November 2000,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"Gossow joined Arch Enemy in November 2000, after the removal of lead singer Johan Liiva.",0,6,== Musical career == | === Arch Enemy ===,2178819,2000-11-01,2000-11-30,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"After firing Liiva in 2000, the band called in Gossow for an audition.",3,6,== Musical career == | === Arch Enemy ===,2178819,2000-01-01,2000-12-31,ML
17 March 2014,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"On 17 March 2014, it was announced that Gossow was stepping down as Arch Enemy vocalist to pursue other interests and spend more time with her family.",0,8,== Musical career == | === Arch Enemy ===,2178819,2014-03-17,2014-03-17,ML
2020,CD,YEAR_REGEX_1,TIME,time_reference,"She performed guest vocals on Amaranthe's 2020 single, ""Do or Die"", and was featured in the song's music video, making it Gossow's first musical performance in 8 years.",1,10,== Musical career == | === Management career ===,2178819,2020-01-01,2020-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"According to an interview with Musiikki TV at the Frostbite Festival 2009, Gossow did guest vocals on the Astarte album Demonized, on the song ""Black at Heart"".",1,12,== Musical career == | === Other work ===,2178819,2009-01-01,2009-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,"Apart from being on the cover pages of many leading magazines, she was also voted the ""best singer"" and ""shining star"" at the Burrn! magazine awards in 2002.",1,13,== Musical career == | === Other work ===,2178819,2002-01-01,2002-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,Since 2008 she has been the manager for Spiritual Beggars.,2,13,== Musical career == | === Other work ===,2178819,2008-01-01,2008-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"Gossow recently expressed interest in starting a new extreme metal project in 2018 after Arch Enemy's touring cycle for Will to Power, stating ""Yes, I want to make a new extreme metal project, but this will happen after Arch Enemy and work with Alissa [White-Gluz] will be concluded and the whole world will sail in calmer waters.",3,13,== Musical career == | === Other work ===,2178819,2018-01-01,2018-12-31,ML
2018,CD,YEAR_REGEX_1,TIME,time_reference,"I suppose this will be in 2018, when we concluded the first series of tours and all the rest.",4,13,== Musical career == | === Other work ===,2178819,2018-01-01,2018-12-31,ML
1991,CD,YEAR_REGEX_1,TIME,time_reference,"Your Hidden Fear (Demo, 1991)",0,18,== Discography == | === With Asmodina ===,2178819,1991-01-01,1991-12-31,ML
