time_expression,POST_tag,time_token,type_token,time_expression_type,sentenceIndex,paragraphIndex,normalised_value_start,normalised_value_end,source
1941,CD,YEAR_REGEX_1,TIME,time_reference,4,2,1941-01-01,1941-12-31,ML
1942,CD,YEAR_REGEX_1,TIME,time_reference,0,3,1942-01-01,1942-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,0,3,1943-01-01,1943-12-31,ML
1943,CD,YEAR_REGEX_1,TIME,time_reference,3,3,1943-01-01,1943-12-31,ML
1945,CD,YEAR_REGEX_1,TIME,time_reference,4,3,1945-01-01,1945-12-31,ML
1945 to 1948,CD TO CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,5,3,1945-01-01,1948-12-31,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,5,3,1949-01-01,1949-12-31,ML
the 1950s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,5,3,1950-01-01,1959-12-31,ML
1949,CD,YEAR_REGEX_1,TIME,time_reference,2,4,1949-01-01,1949-12-31,ML
1950,CD,YEAR_REGEX_1,TIME,time_reference,3,4,1950-01-01,1950-12-31,ML
the 1950s,DT CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,5,4,1950-01-01,1959-12-31,ML
1954 and 1958,CD CC CD,YEAR_REGEX_1 LINKAGE_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_range,0,5,1954-01-01,1958-12-31,ML
1958,CD,YEAR_REGEX_1,TIME,time_reference,0,6,1958-01-01,1958-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,7,1960-01-01,1960-12-31,ML
1943–46,CD,YEAR_REGEX_1,TIME,time_reference,0,10,1943-01-01,2046-12-31,ML
1953,CD,YEAR_REGEX_1,TIME,time_reference,0,11,1953-01-01,1953-12-31,ML
1954,CD,YEAR_REGEX_1,TIME,time_reference,0,12,1954-01-01,1954-12-31,ML
1954,CD,YEAR_REGEX_1,TIME,time_reference,0,13,1954-01-01,1954-12-31,ML
1954,CD,YEAR_REGEX_1,TIME,time_reference,0,14,1954-01-01,1954-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,15,1955-01-01,1955-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,16,1956-01-01,1956-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,17,1956-01-01,1956-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,18,1957-01-01,1957-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,0,19,1986-01-01,1986-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,20,1957-01-01,1957-12-31,ML
1959,CD,YEAR_REGEX_1,TIME,time_reference,0,21,1959-01-01,1959-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,22,1960-01-01,1960-12-31,ML
1960,CD,YEAR_REGEX_1,TIME,time_reference,0,23,1960-01-01,1960-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,0,24,2000-01-01,2000-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,26,1956-01-01,1956-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,0,26,1980-01-01,1980-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,27,1957-01-01,1957-12-31,ML
1954,CD,YEAR_REGEX_1,TIME,time_reference,0,28,1954-01-01,1954-12-31,ML
1944–1946,CD,YEAR_REGEX_1,TIME,time_reference,0,29,1944-01-01,1946-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,31,1955-01-01,1955-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,32,1956-01-01,1956-12-31,ML
1952–54,CD,YEAR_REGEX_1,TIME,time_reference,0,35,1952-01-01,2054-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,36,1957-01-01,1957-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,36,1955-01-01,1955-12-31,ML
January 1946,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,37,1946-01-01,1946-01-31,ML
December 1947,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,0,38,1947-12-01,1947-12-31,ML
1947–1948,CD,YEAR_REGEX_1,TIME,time_reference,0,38,1947-01-01,1948-12-31,ML
1949–1950,CD,YEAR_REGEX_1,TIME,time_reference,0,38,1949-01-01,1950-12-31,ML
1950,CD,YEAR_REGEX_1,TIME,time_reference,1,38,1950-01-01,1950-12-31,ML
1955–58,CD,YEAR_REGEX_1,TIME,time_reference,0,39,1955-01-01,2058-12-31,ML
1937–1945,CD,YEAR_REGEX_1,TIME,time_reference,0,40,1937-01-01,1945-12-31,ML
1945,CD,YEAR_REGEX_1,TIME,time_reference,0,41,1945-01-01,1945-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,42,1956-01-01,1956-12-31,ML
1944,CD,YEAR_REGEX_1,TIME,time_reference,0,44,1944-01-01,1944-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,0,44,1992-01-01,1992-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,44,1957-01-01,1957-12-31,ML
1956–57,CD,YEAR_REGEX_1,TIME,time_reference,0,45,1956-01-01,2057-12-31,ML
1948–49,CD,YEAR_REGEX_1,TIME,time_reference,0,46,1948-01-01,2049-12-31,ML
1947–51,CD,YEAR_REGEX_1,TIME,time_reference,0,48,1947-01-01,2051-12-31,ML
1927–1945,CD,YEAR_REGEX_1,TIME,time_reference,0,49,1927-01-01,1945-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,50,1956-01-01,1956-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,51,1957-01-01,1957-12-31,ML
1958,CD,YEAR_REGEX_1,TIME,time_reference,0,52,1958-01-01,1958-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,53,1955-01-01,1955-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,54,1957-01-01,1957-12-31,ML
1954,CD,YEAR_REGEX_1,TIME,time_reference,0,55,1954-01-01,1954-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,55,1957-01-01,1957-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,1,56,1955-01-01,1955-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,1,56,1956-01-01,1956-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,57,1956-01-01,1956-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,58,1957-01-01,1957-12-31,ML
1950,CD,YEAR_REGEX_1,TIME,time_reference,0,59,1950-01-01,1950-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,60,1957-01-01,1957-12-31,ML
1958,CD,YEAR_REGEX_1,TIME,time_reference,0,61,1958-01-01,1958-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,62,1955-01-01,1955-12-31,ML
1958,CD,YEAR_REGEX_1,TIME,time_reference,0,63,1958-01-01,1958-12-31,ML
1957,CD,YEAR_REGEX_1,TIME,time_reference,0,65,1957-01-01,1957-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,66,1955-01-01,1955-12-31,ML
1950,CD,YEAR_REGEX_1,TIME,time_reference,1,67,1950-01-01,1950-12-31,ML
1955,CD,YEAR_REGEX_1,TIME,time_reference,0,69,1955-01-01,1955-12-31,ML
1954,CD,YEAR_REGEX_1,TIME,time_reference,0,70,1954-01-01,1954-12-31,ML
1956,CD,YEAR_REGEX_1,TIME,time_reference,0,71,1956-01-01,1956-12-31,ML
1952–53,CD,YEAR_REGEX_1,TIME,time_reference,0,72,1952-01-01,2053-12-31,ML
1954–55,CD,YEAR_REGEX_1,TIME,time_reference,0,73,1954-01-01,2055-12-31,ML
"Dawn , 1956","NNP , CD",DAY_TIME_REGEX COMMA_REGEX YEAR_REGEX_1,TIME MODIFIER TIME,time_reference,0,64,1956-01-01,1956-12-31,LLM
the early 1940s,DT JJ CD,PREFIX_REGEX_1 PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER MODIFIER TIME,time_reference,2,3,1940-01-01,1945-12-31,LLM
"September 30 , 1922 – September 8 , 1960","NNP CD , CD NNP NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1 LINKAGE_REGEX MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME MODIFIER TIME NUMERAL MODIFIER TIME,time_reference,0,0,1922-09-30,1960-09-08,LLM
Five months,CD NNS,BASIC_NUMBER_REGEX_1 TIME_UNIT_REGEX,NUMERAL TIME,time_reference,5,2,,,ML
1952-57,JJ,YEAR_REGEX_1,TIME,time_reference,0,19,,,ML
1953-60,JJ,YEAR_REGEX_1,TIME,time_reference,0,24,,,ML
Hour,NNP,TIME_UNIT_REGEX,TIME,time_reference,0,39,,,ML
