time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1970,CD,YEAR_REGEX_1,TIME,time_reference,"While studying at L.I.U, instructor Michael Carvin secured Waits a spot in the percussion ensemble M'Boom, started by drummer Max Roach and Freddie Waits, in 1970.",3,1,,28365521,1970-01-01,1970-12-31,ML
2008,CD,YEAR_REGEX_1,TIME,time_reference,"Equality (Fresh Sound Records, 2008)",0,4,== Selected discography == | === As a leader ===,28365521,2008-01-01,2008-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Between Nothingness and Infinity (Laborie, 2016)",0,5,== Selected discography == | === As a leader ===,28365521,2016-01-01,2016-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Baida (ECM, 2013)",0,8,== Selected discography == | === As sideman ===,28365521,2013-01-01,2013-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"Quiver (ECM, 2016)With Tarbaby",0,9,== Selected discography == | === As sideman ===,28365521,2016-01-01,2016-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,"Tarbaby (Imani, 2009)",0,10,== Selected discography == | === As sideman ===,28365521,2009-01-01,2009-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"The End of Fear (Posi-tone, 2010)",0,11,== Selected discography == | === As sideman ===,28365521,2010-01-01,2010-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Ballad of Sam Langford (Hipnotic, 2013)",0,12,== Selected discography == | === As sideman ===,28365521,2013-01-01,2013-12-31,ML
2013,CD,YEAR_REGEX_1,TIME,time_reference,"Fanon (RogueArt, 2013)With Antonio Hart",0,13,== Selected discography == | === As sideman ===,28365521,2013-01-01,2013-12-31,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,"For Cannonball and Woody (RCA/Novus, 1993)",0,14,== Selected discography == | === As sideman ===,28365521,1993-01-01,1993-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"All We Need (Downtown, 2004)With Jason Moran",0,15,== Selected discography == | === As sideman ===,28365521,2004-01-01,2004-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Facing Left (Blue Note, 2000)",0,16,== Selected discography == | === As sideman ===,28365521,2000-01-01,2000-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,"Black Stars (Blue Note, 2001)",0,17,== Selected discography == | === As sideman ===,28365521,2001-01-01,2001-12-31,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,"The Bandwagon (Blue Note, 2003)",0,18,== Selected discography == | === As sideman ===,28365521,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"Same Mother (Blue Note, 2005)",0,19,== Selected discography == | === As sideman ===,28365521,2005-01-01,2005-12-31,ML
2006,CD,YEAR_REGEX_1,TIME,time_reference,"Artist in Residence (Blue Note, 2006)",0,20,== Selected discography == | === As sideman ===,28365521,2006-01-01,2006-12-31,ML
