time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
16 September 1964,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Phillip Bent (born 16 September 1964) is an English jazz flautist from London, England, who was a member of the GRP All-Star Big Band.",0,0,,33464327,1964-09-16,1964-09-16,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,The Pressure (1993),0,3,== Discography == | === As leader ===,33464327,1993-01-01,1993-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,The Magic of Your Spell (2007),0,4,== Discography == | === As leader ===,33464327,2007-01-01,2007-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,GRP All-Star Big Band (1992),0,7,== Discography == | === As sideman ===,33464327,1992-01-01,1992-12-31,ML
Presents,NNP,TIMELINE_REGEX,TIME,time_reference,Dave Grusin Presents GRP All-Star Big Band Live!,0,8,== Discography == | === As sideman ===,33464327,,,ML
1993,CD,YEAR_REGEX_1,TIME,time_reference,(1993),1,8,== Discography == | === As sideman ===,33464327,1993-01-01,1993-12-31,ML
1995,CD,YEAR_REGEX_1,TIME,time_reference,All Blues (1995)With others,0,9,== Discography == | === As sideman ===,33464327,1995-01-01,1995-12-31,ML
1987,CD,YEAR_REGEX_1,TIME,time_reference,"Jazz Warriors, Out of Many, One People (1987)",0,10,== Discography == | === As sideman ===,33464327,1987-01-01,1987-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Ronny Jordan,  The Antidote (1992)",0,11,== Discography == | === As sideman ===,33464327,1992-01-01,1992-12-31,ML
1992,CD,YEAR_REGEX_1,TIME,time_reference,"Galliano,  A Joyful Noise Unto The Creator (1992)",0,12,== Discography == | === As sideman ===,33464327,1992-01-01,1992-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"The Prodigy, Music For The Jilted Generation, 3 Kilos ( 1994 )",0,13,== Discography == | === As sideman ===,33464327,1994-01-01,1994-12-31,ML
2000,CD,YEAR_REGEX_1,TIME,time_reference,"Des'ree, Endangered Species (2000)",0,14,== Discography == | === As sideman ===,33464327,2000-01-01,2000-12-31,ML
