time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
1 March 1976,CD NNP CD,DIGIT_REGEX_1 MONTH_REGEX YEAR_REGEX_1,NUMERAL TIME TIME,time_point,"Andreas Mjøs (born 1 March 1976 in Tønsberg, Norway) is a Norwegian musician, record producer and composer, known from a series of performances and albums within Jaga Jazzist.",0,0,,37409623,1976-03-01,1976-03-01,ML
1998,CD,YEAR_REGEX_1,TIME,time_reference,1998:,0,6,== Discography (in selection) == | === Collaborations ===,37409623,1998-01-01,1998-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,7,== Discography (in selection) == | === Collaborations ===,37409623,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,8,== Discography (in selection) == | === Collaborations ===,37409623,2001-01-01,2001-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,9,== Discography (in selection) == | === Collaborations ===,37409623,2001-01-01,2001-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,10,== Discography (in selection) == | === Collaborations ===,37409623,2002-01-01,2002-12-31,ML
2002,CD,YEAR_REGEX_1,TIME,time_reference,2002:,0,11,== Discography (in selection) == | === Collaborations ===,37409623,2002-01-01,2002-12-31,ML
Days 12,NNS CD,TIME_UNIT_REGEX DIGIT_REGEX_1,TIME NUMERAL,time_reference,"Days 12"", (Smalltown Supersound)",1,11,== Discography (in selection) == | === Collaborations ===,37409623,,,ML
2003,CD,YEAR_REGEX_1,TIME,time_reference,2003:,0,12,== Discography (in selection) == | === Collaborations ===,37409623,2003-01-01,2003-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,13,== Discography (in selection) == | === Collaborations ===,37409623,2005-01-01,2005-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010: One-Armed Bandit (Sonet)Within «In The Country»2009: White Out (Rune Grammofon),0,14,== Discography (in selection) == | === Collaborations ===,37409623,2010-01-01,2010-12-31,ML
2009,CD,YEAR_REGEX_1,TIME,time_reference,2010: One-Armed Bandit (Sonet)Within «In The Country»2009: White Out (Rune Grammofon),0,14,== Discography (in selection) == | === Collaborations ===,37409623,2009-01-01,2009-12-31,ML
2011,CD,YEAR_REGEX_1,TIME,time_reference,"2011: Sounds And Sights (Rune Grammofon)With other projects2000: Clouds Rolling By (Warner Music Norway), with Bigbang",0,15,== Discography (in selection) == | === Collaborations ===,37409623,2011-01-01,2011-12-31,ML
2001,CD,YEAR_REGEX_1,TIME,time_reference,2001:,0,16,== Discography (in selection) == | === Collaborations ===,37409623,2001-01-01,2001-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,17,== Discography (in selection) == | === Collaborations ===,37409623,2004-01-01,2004-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,2004:,0,18,== Discography (in selection) == | === Collaborations ===,37409623,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,2005:,0,19,== Discography (in selection) == | === Collaborations ===,37409623,2005-01-01,2005-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,"2010: Synlige Hjerteslag (Grappa), with Frida Ånnevik",0,20,== Discography (in selection) == | === Collaborations ===,37409623,2010-01-01,2010-12-31,ML
2010,CD,YEAR_REGEX_1,TIME,time_reference,2010:,0,21,== Discography (in selection) == | === Collaborations ===,37409623,2010-01-01,2010-12-31,ML
2004,CD,YEAR_REGEX_1,TIME,time_reference,"2004 - Susanna and the Magical Orchestra, List of Lights and Buoys (Rune Grammofon)",0,22,== Discography (in selection) == | === Collaborations ===,37409623,2004-01-01,2004-12-31,ML
2005,CD,YEAR_REGEX_1,TIME,time_reference,"2005 - Adjagas, Adjagas (Trust Me )",0,23,== Discography (in selection) == | === Collaborations ===,37409623,2005-01-01,2005-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007 - Saralunden/Bjørkaas/Mjøs, Dubious (Nexsound)",0,24,== Discography (in selection) == | === Collaborations ===,37409623,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007 - Levi Henriksen & Thomas Mårud, Bang bang rett ned (Norskamerikaner)",0,25,== Discography (in selection) == | === Collaborations ===,37409623,2007-01-01,2007-12-31,ML
2007,CD,YEAR_REGEX_1,TIME,time_reference,"2007 - «Slagr», Solaris (NorCD)",0,26,== Discography (in selection) == | === Collaborations ===,37409623,2007-01-01,2007-12-31,ML
