time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"April 17 , 1993","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Lee Se-rin (born April 17, 1993), known by the stage name Kasper, is a South Korean singer, rapper, and YouTuber.",0,0,,55534009,1993-04-17,1993-04-17,ML
January 2017,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"She debuted as a solo artist with her debut single, ""Lean on Me"", in January 2017.",2,0,,55534009,2017-01-01,2017-01-31,ML
2010–present,CD,YEAR_REGEX_1,TIME,time_reference,YouTube (2010–present),1,2,== Career == | === YouTube (2010–present) ===,55534009,2010-01-01,,ML
"February 9 , 2010","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Kasper started a YouTube channel ""KASPER 캐스퍼"" on February 9, 2010.",0,3,== Career == | === YouTube (2010–present) ===,55534009,2010-02-09,2010-02-09,ML
around 2012,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"Also around 2012, she has been around YouTube sharing content on the channel ""WishTrendTV"".",1,3,== Career == | === YouTube (2010–present) ===,55534009,2012-01-01,2012-12-31,ML
2014–2016,CD,YEAR_REGEX_1,TIME,time_reference,Play the Siren (2014–2016),1,4,== Career == | === Play the Siren (2014–2016) ===,55534009,2014-01-01,2016-12-31,ML
2014,CD,YEAR_REGEX_1,TIME,time_reference,"In 2014, Kasper joined the urban hip-hop group Play the Siren, which was managed under SM Entertainment's subsidiary indie label Baljunso.",0,5,== Career == | === Play the Siren (2014–2016) ===,55534009,2014-01-01,2014-12-31,ML
July 2014,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"They debuted with their song ""Dream Drive"", featuring f(x)'s Luna in July 2014.",1,5,== Career == | === Play the Siren (2014–2016) ===,55534009,2014-07-01,2014-07-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"During 2015, the group disbanded, Kasper was the final one to leave after the group and stayed with Balijunso until 2016.",2,5,== Career == | === Play the Siren (2014–2016) ===,55534009,2015-01-01,2015-12-31,ML
2016,CD,YEAR_REGEX_1,TIME,time_reference,"During 2015, the group disbanded, Kasper was the final one to leave after the group and stayed with Balijunso until 2016.",2,5,== Career == | === Play the Siren (2014–2016) ===,55534009,2016-01-01,2016-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,Unpretty Rapstar (2015),1,6,== Career == | === Unpretty Rapstar (2015) ===,55534009,2015-01-01,2015-12-31,ML
2015,CD,YEAR_REGEX_1,TIME,time_reference,"During 2015, Kasper joined Unpretty Rapstar Season 2 where she competed against artists including 4Minute's Jiyoon, Sistar's Hyolyn, Wonder Girls' Yubin, Fiestar's Yezi, as well as YG Trainee Sua and Clover's Gilme.",0,7,== Career == | === Unpretty Rapstar (2015) ===,55534009,2015-01-01,2015-12-31,ML
2016–present,CD,YEAR_REGEX_1,TIME,time_reference,Solo career (2016–present),1,8,== Career == | === Solo career (2016–present) ===,55534009,2016-01-01,,ML
of 2016,IN CD,PREFIX_REGEX_1 YEAR_REGEX_1,MODIFIER TIME,time_reference,"During the middle of 2016, Kasper has signed a contract with DSP Media.",0,9,== Career == | === Solo career (2016–present) ===,55534009,2016-01-01,2016-12-31,ML
"January 18 , 2017","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"On January 18, 2017 Kasper made her official solo debut with her single ""Lean on Me"" under her new label DSP Media.",5,9,== Career == | === Solo career (2016–present) ===,55534009,2017-01-18,2017-01-18,ML
August 2018,NNP CD,MONTH_REGEX YEAR_REGEX_1,TIME TIME,time_reference,"In August 2018, Kasper used social media to surprise her fans that her first mini-album titled ""Time Is Up"" will be released on August 8, 2018.",7,9,== Career == | === Solo career (2016–present) ===,55534009,2018-08-01,2018-08-31,ML
"August 8 , 2018","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"In August 2018, Kasper used social media to surprise her fans that her first mini-album titled ""Time Is Up"" will be released on August 8, 2018.",7,9,== Career == | === Solo career (2016–present) ===,55534009,2018-08-08,2018-08-08,ML
