time_expression,POST_tag,time_token,type_token,time_expression_type,sentences,sentenceIndex,paragraphIndex,section,wikiId,normalised_value_start,normalised_value_end,source
"February 21 , 1951","NNP CD , CD",MONTH_REGEX DIGIT_REGEX_1 COMMA_REGEX YEAR_REGEX_1,TIME NUMERAL MODIFIER TIME,time_reference,"Warren Vaché (born February 21, 1951) is an American jazz trumpeter, cornetist, and flugelhornist.",0,0,,7946764,1951-02-21,1951-02-21,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"In 1976, he released his first album.",3,0,,7946764,1976-01-01,1976-12-31,ML
1976,CD,YEAR_REGEX_1,TIME,time_reference,"First Time Out (Monmouth Evergreen, 1976)",0,3,== Discography == | === As leader ===,7946764,1976-01-01,1976-12-31,ML
1978,CD,YEAR_REGEX_1,TIME,time_reference,"Blues Walk (Dreamstreet, 1978)",0,4,== Discography == | === As leader ===,7946764,1978-01-01,1978-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"Jillian (Concord Jazz, 1979)",0,5,== Discography == | === As leader ===,7946764,1979-01-01,1979-12-31,ML
1979,CD,YEAR_REGEX_1,TIME,time_reference,"Polished Brass (Concord Jazz, 1979)",0,6,== Discography == | === As leader ===,7946764,1979-01-01,1979-12-31,ML
1980,CD,YEAR_REGEX_1,TIME,time_reference,"Skyscrapers (Concord Jazz, 1980) with Scott Hamilton",0,7,== Discography == | === As leader ===,7946764,1980-01-01,1980-12-31,ML
1981,CD,YEAR_REGEX_1,TIME,time_reference,"Iridescence (Concord Jazz, 1981)",0,8,== Discography == | === As leader ===,7946764,1981-01-01,1981-12-31,ML
1982,CD,YEAR_REGEX_1,TIME,time_reference,Midtown Jazz (Concord Jazz. 1982),0,9,== Discography == | === As leader ===,7946764,1982-01-01,1982-12-31,ML
1986,CD,YEAR_REGEX_1,TIME,time_reference,"Easy Going (Concord Jazz, 1986)",0,10,== Discography == | === As leader ===,7946764,1986-01-01,1986-12-31,ML
Evenings,NNP,DAY_TIME_REGEX,TIME,time_reference,"Warm Evenings (Concord, 1989) with  The Beaux Arts String Quartet",0,11,== Discography == | === As leader ===,7946764,,,ML
1989,CD,YEAR_REGEX_1,TIME,time_reference,"Warm Evenings (Concord, 1989) with  The Beaux Arts String Quartet",0,11,== Discography == | === As leader ===,7946764,1989-01-01,1989-12-31,ML
1994,CD,YEAR_REGEX_1,TIME,time_reference,"Horn of Plenty (Muse, 1994)",0,12,== Discography == | === As leader ===,7946764,1994-01-01,1994-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Talk To Me Baby (Muse, 1996)",0,13,== Discography == | === As leader ===,7946764,1996-01-01,1996-12-31,ML
1996,CD,YEAR_REGEX_1,TIME,time_reference,"Warren Plays Warren with Kenny Drew Jr., Jimmy Cobb, Randy Sandke (Nagel-Heyer, 1996)",0,14,== Discography == | === As leader ===,7946764,1996-01-01,1996-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"An Affair to Remember with Brian Lemon (Zephyr, 1997)",0,15,== Discography == | === As leader ===,7946764,1997-01-01,1997-12-31,ML
1997,CD,YEAR_REGEX_1,TIME,time_reference,"Shine with Tony Coe, Alan Barnes, Brian Lemon (Zephyr, 1997)",0,16,== Discography == | === As leader ===,7946764,1997-01-01,1997-12-31,ML
1999,CD,YEAR_REGEX_1,TIME,time_reference,"What Is There to Say? with Joe Puma, Murray Wall, Eddie Locke (Nagel-Heyer, 1999)",0,17,== Discography == | === As leader ===,7946764,1999-01-01,1999-12-31,ML
