s,label,image,birthdate,deathdate,wikidataId,abstract
http://dbpedia.org/resource/Theodor_Leschetizky,Theodor Leschetizky,http://commons.wikimedia.org/wiki/Special:FilePath/TheodorLeschetizky.jpg?width=300,1830-06-22,1915-11-14,http://www.wikidata.org/entity/Q362340,"Theodor Leschetizky (sometimes spelled Leschetitzky, Polish: Teodor Leszetycki; 22 June 1830 – 14 November 1915 was an Austrian-Polish pianist, professor, and composer born in Landshut in the Kingdom of Galicia and Lodomeria, then a crown land of Austria-Hungary."
http://dbpedia.org/resource/Saint_Joseph,Saint Joseph,http://commons.wikimedia.org/wiki/Special:FilePath/Guido_Reni_-_St_Joseph_with_the_Infant_Jesus_-_WGA19304.jpg?width=300,-0029-01-01,0020-01-01,http://www.wikidata.org/entity/Q128267,"Joseph (Hebrew: יוסף, romanized: Yosef; Greek: Ἰωσήφ, romanized: Ioséph) was a 1st-century Jewish man of Nazareth who, according to the canonical Gospels, was married to Mary, the mother of Jesus, and was the legal father of Jesus. The Gospels also name some brothers of Jesus who may have been: (1) the sons of Mary, the mother of Jesus, and Joseph; (2) sons of Mary, the wife of Clopas and sister of Mary the mother of Jesus; or (3) sons of Joseph by a former marriage. Joseph is venerated as Saint Joseph in the Catholic Church, Orthodox Church, Oriental Orthodox Church and Anglicanism. His feast day is observed by some Lutherans. In Catholic traditions, Joseph is regarded as the patron saint of workers and is associated with various feast days. The month of March is dedicated to Saint Joseph. Pope Pius IX declared him to be both the patron and the protector of the Catholic Church, in addition to his patronages of the sick and of a happy death, due to the belief that he died in the presence of Jesus and Mary. Joseph has become patron of various dioceses and places. Being a patron saint of the virgins, too, he is venerated as ""most chaste"". A specific veneration is tributed to the most chaste and pure heart of Saint Joseph. Several venerated images of Saint Joseph have been granted a decree of canonical coronation by a pontiff. Religious iconography often depicts him with lilies or spikenard. With the present-day growth of Mariology, the theological field of Josephology has also grown and since the 1950s centers for studying it have been formed."
http://dbpedia.org/resource/Carl_Czerny,Carl Czerny,http://commons.wikimedia.org/wiki/Special:FilePath/Czerny_2.jpg?width=300,1791-02-21,1857-07-15,http://www.wikidata.org/entity/Q215333,"Carl Czerny (German: [ˈtʃɛʁniː]; 21 February 1791 – 15 July 1857) was an Austrian composer, teacher, and pianist of Czech origin whose music spanned the late Classical and early Romantic eras. His vast musical production amounted to over a thousand works and his books of studies for the piano are still widely used in piano teaching. He was one of Ludwig van Beethoven's best-known pupils."
http://dbpedia.org/resource/Franz_Xaver_Wolfgang_Mozart,Franz Xaver Wolfgang Mozart,http://commons.wikimedia.org/wiki/Special:FilePath/Franz_Xaver_Mozart_(Wolfgang_Jr)_1825.jpg?width=300,1791-07-26,1844-07-29,http://www.wikidata.org/entity/Q156023,"Franz Xaver Wolfgang Mozart (26 July 1791 – 29 July 1844), also known as Wolfgang Amadeus Mozart, Jr., was the youngest child of six born to Wolfgang Amadeus Mozart and his wife Constanze and the younger of his parents' two surviving children. He was a composer, pianist, conductor, and teacher of the late classical period whose musical style was of an early Romanticism, heavily influenced by his father's mature style."
http://dbpedia.org/resource/Anton_Rubinstein,Anton Rubinstein,http://commons.wikimedia.org/wiki/Special:FilePath/rubinstein_repin.jpg?width=300,1829-11-28,1894-11-20,http://www.wikidata.org/entity/Q87567,"Anton Grigoryevich Rubinstein (Russian: Антон Григорьевич Рубинштейн, tr. Anton Grigor'evič Rubinštejn; 28 November [O.S. 16 November] 1829 – 20 November [O.S. 8 November] 1894) was a Russian pianist, composer and conductor who became a pivotal figure in Russian culture when he founded the Saint Petersburg Conservatory. He was the elder brother of Nikolai Rubinstein, who founded the Moscow Conservatory. As a pianist, Rubinstein ranks among the great 19th-century keyboard virtuosos. He became most famous for his series of historical recitals—seven enormous, consecutive concerts covering the history of piano music. Rubinstein played this series throughout Russia and Eastern Europe and in the United States when he toured there. Although best remembered as a pianist and educator (most notably in the latter as the composition teacher of Tchaikovsky), Rubinstein was also a prolific composer throughout much of his life. He wrote 20 operas, the best known of which is The Demon. He composed many other works, including five piano concertos, six symphonies and many solo piano works along with a substantial output of works for chamber ensemble."
http://dbpedia.org/resource/Sigurd_Ring,Sigurd Ring,http://commons.wikimedia.org/wiki/Special:FilePath/Sigurt_verbrennt_Haralds_Leiche.jpg?width=300,0800-01-01,http://www.wikidata.org/.well-known/genid/ae22f682a94dfdbd50e3edb2a9d08e36,http://www.wikidata.org/entity/Q2498418,"Sigurd Ring (Old Norse: Sigurðr Hringr, in some sources merely called Hringr) according to legend was a king of the Swedes, being mentioned in many old Scandinavian sagas. According to these sources he was granted rulership over Sweden as a vassal king under his uncle Harald Wartooth. Later he would take up arms against his uncle Harald in a bid to overthrow him and take the crown of Denmark, a conflict which Sigurd eventually won after the legendary Battle of the Brávellir, where it is said that Odin himself intervened and killed Harald. In the Sagas, Sigurd is also known for being the father of the Norse Viking hero and legendary king of Denmark and Sweden, Ragnar Lodbrok. According to Bósa saga ok Herrauds, there was once a saga on Sigurd Ring, but this saga is now lost."
http://dbpedia.org/resource/Clara_Clemens,Clara Clemens,http://commons.wikimedia.org/wiki/Special:FilePath/Clara_Clemens.jpg?width=300,1874-06-08,1962-11-19,http://www.wikidata.org/entity/Q5125968,"Clara Langhorne Clemens Samossoud, formerly Clara Langhorne Clemens Gabrilowitsch (June 8, 1874 – November 19, 1962), was a daughter of Samuel Clemens, who wrote as Mark Twain. She was a contralto concert singer and she managed his estate and guarded his legacy after his death as his only surviving child. She was married first to Ossip Gabrilowitsch, then to Jacques Samossoud after Gabrilowitsch's death. She wrote biographies of Gabrilowitsch and of her father. In her later life, she became a Christian Scientist."
http://dbpedia.org/resource/Mark_Twain,Mark Twain,http://commons.wikimedia.org/wiki/Special:FilePath/Mark_Twain_by_AF_Bradley.jpg?width=300,1835-11-30,1910-04-21,http://www.wikidata.org/entity/Q7245,"Samuel Langhorne Clemens (November 30, 1835 – April 21, 1910), known by his pen name Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer. He was praised as the ""greatest humorist the United States has produced"", and William Faulkner called him ""the father of American literature"". His novels include The Adventures of Tom Sawyer (1876) and its sequel, Adventures of Huckleberry Finn (1884), the latter of which has often been called the ""Great American Novel"". Twain also wrote A Connecticut Yankee in King Arthur's Court (1889) and Pudd'nhead Wilson (1894), and co-wrote The Gilded Age: A Tale of Today (1873) with Charles Dudley Warner. Twain was raised in Hannibal, Missouri, which later provided the setting for Tom Sawyer and Huckleberry Finn. He served an apprenticeship with a printer and then worked as a typesetter, contributing articles to the newspaper of his older brother Orion Clemens. He later became a riverboat pilot on the Mississippi River before heading west to join Orion in Nevada. He referred humorously to his lack of success at mining, turning to journalism for the Virginia City Territorial Enterprise. His humorous story ""The Celebrated Jumping Frog of Calaveras County"" was published in 1865, based on a story that he heard at Angels Hotel in Angels Camp, California, where he had spent some time as a miner. The short story brought international attention and was even translated into French. His wit and satire, in prose and in speech, earned praise from critics and peers, and he was a friend to presidents, artists, industrialists, and European royalty. Initially an ardent American imperialist who spoke out strongly in favor of American interests in the Hawaiian Islands, he later became vice-president of the American Anti-Imperialist League from 1901 until his death in 1910. Twain earned a great deal of money from his writings and lectures but invested in ventures that lost most of it—such as the Paige Compositor, a mechanical typesetter that failed because of its complexity and imprecision. He filed for bankruptcy in the wake of these financial setbacks, but in time overcame his financial troubles with the help of Standard Oil executive Henry Huttleston Rogers. He eventually paid all his creditors in full, even though his bankruptcy relieved him of having to do so. Twain was born shortly after an appearance of Halley's Comet, and he predicted that he would ""go out with it"" as well, dying the day after the comet made its closest approach to Earth."
http://dbpedia.org/resource/Ethel_Newcomb,Ethel Newcomb,"http://commons.wikimedia.org/wiki/Special:FilePath/Miss_Ethel_Newcomb,_concert_pianist_(1918).jpg?width=300",1875-10-30,1959-07-03,http://www.wikidata.org/entity/Q55418719,"Ethel Newcomb (1875–1959) was an American pianist. A pupil of Theodor Leschetizky, she became a successful soloist and ensemble performer across Europe and the United States during the early 1900s. Respected for her interpretations of the work of Beethoven, she was reportedly sought out as a mentor herself by students from across the globe after she opened her own music studio in New York prior to World War I. In 1921, she recounted her experiences with her mentor via her book, Leschetizky as I Knew Him."
http://dbpedia.org/resource/Edwin_Hughes_(soldier),Edwin Hughes (soldier),http://commons.wikimedia.org/wiki/Special:FilePath/balaclavaned.jpg?width=300,1830-12-12,1927-05-18,http://www.wikidata.org/entity/Q5346531,"Edwin Hughes (12 December 1830 – 18 May 1927), nicknamed ""Balaclava Ned"", was a British Army soldier and the last survivor of the famous Charge of the Light Brigade during the Crimean War of 1854–56."
http://dbpedia.org/resource/Peter_Ritzen,Peter Ritzen,http://commons.wikimedia.org/wiki/Special:FilePath/Peter_Ritzen.jpg?width=300,1956-01-21,,http://www.wikidata.org/entity/Q698933,Peter Ritzen (born 21 January 1956) is a Flemish pianist composer and conductor.
http://dbpedia.org/resource/Ignacy_Jan_Paderewski,Ignacy Jan Paderewski,http://commons.wikimedia.org/wiki/Special:FilePath/Ignacy_Jan_Paderewski.png?width=300,1860-11-06,1941-06-29,http://www.wikidata.org/entity/Q191957,"Ignacy Jan Paderewski (Polish: [iɡˈnatsɨ ˈjan padɛˈrɛfskʲi]; 18 November [O.S. 6 November] 1860 – 29 June 1941) was a Polish pianist and composer who became a spokesman for Polish independence. In 1919, he was the new nation's Prime Minister and foreign minister during which he signed the Treaty of Versailles, which ended World War I. A favorite of concert audiences around the world, his musical fame opened access to diplomacy and the media, as possibly did his status as a freemason, and charitable work of his second wife, Helena Paderewska. During World War I, Paderewski advocated an independent Poland, including by touring the United States, where he met with President Woodrow Wilson, who came to support the creation of an independent Poland in his Fourteen Points at the Paris Peace Conference in 1919, which led to the Treaty of Versailles. Shortly after his resignations from office, Paderewski resumed his concert career to recoup his finances and rarely visited the politically chaotic Poland thereafter, the last time being in 1924."
